Country Name,Year,Primary Enrollment,GDP per Capita
Brazil,2001,19727684.0,92.7623818801937
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,30.00274
Brazil,2001,19727684.0,40.08059
Brazil,2001,19727684.0,21.58902
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,57.8206239206
Brazil,2001,19727684.0,105.7470305
Brazil,2001,19727684.0,109.6100262
Brazil,2001,19727684.0,188792932569.85
Brazil,2001,19727684.0,12.3717106723871
Brazil,2001,19727684.0,9.23052690934701
Brazil,2001,19727684.0,66905074508.8696
Brazil,2001,19727684.0,122355915339.461
Brazil,2001,19727684.0,251125983161.214
Brazil,2001,19727684.0,162781459636.156
Brazil,2001,19727684.0,69279563683.047
Brazil,2001,19727684.0,70620649041.2496
Brazil,2001,19727684.0,-2.19286368016883
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,-28852723773.9
Brazil,2001,19727684.0,-12279679261.9452
Brazil,2001,19727684.0,42.4434953238933
Brazil,2001,19727684.0,192898635433.9
Brazil,2001,19727684.0,96280218000.0
Brazil,2001,19727684.0,96618417433.9
Brazil,2001,19727684.0,28273268000.0
Brazil,2001,19727684.0,229959717402.1
Brazil,2001,19727684.0,0.28357494
Brazil,2001,19727684.0,0.76619064
Brazil,2001,19727684.0,2.24523814
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,2.232
Brazil,2001,19727684.0,277.985447026861
Brazil,2001,19727684.0,148.571428571429
Brazil,2001,19727684.0,83.4510033869174
Brazil,2001,19727684.0,1.18660469469674
Brazil,2001,19727684.0,972194534446.623
Brazil,2001,19727684.0,2176642217843.57
Brazil,2001,19727684.0,1098011140023.14
Brazil,2001,19727684.0,467312019869.811
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,331000.0
Brazil,2001,19727684.0,0.186798742
Brazil,2001,19727684.0,37430779.0
Brazil,2001,19727684.0,21.12393485
Brazil,2001,19727684.0,27.4725847081467
Brazil,2001,19727684.0,5.69552691718607
Brazil,2001,19727684.0,59.36
Brazil,2001,19727684.0,18.7190296351589
Brazil,2001,19727684.0,-24714939372.251
Brazil,2001,19727684.0,4.14759326073982
Brazil,2001,19727684.0,23225846372.251
Brazil,2001,19727684.0,-0.265917202431588
Brazil,2001,19727684.0,-1489093000.0
Brazil,2001,19727684.0,65.4616708980706
Brazil,2001,19727684.0,5471378.1
Brazil,2001,19727684.0,0.509243737933021
Brazil,2001,19727684.0,58.9496897692736
Brazil,2001,19727684.0,3.58999518895038
Brazil,2001,19727684.0,13.9169807341298
Brazil,2001,19727684.0,1202908958700.07
Brazil,2001,19727684.0,2744514608947.55
Brazil,2001,19727684.0,1315755467830.93
Brazil,2001,19727684.0,559983704094.17
Brazil,2001,19727684.0,47.9412812575805
Brazil,2001,19727684.0,47.9412812575805
Brazil,2001,19727684.0,1.3898964044581
Brazil,2001,19727684.0,6788.57656201416
Brazil,2001,19727684.0,15488.5765989647
Brazil,2001,19727684.0,7425.42207010544
Brazil,2001,19727684.0,3160.24934491441
Brazil,2001,19727684.0,0.0133708606751668
Brazil,2001,19727684.0,11602.4995299995
